,accuracy,precision,recall,f1_score,roc_auc
logistic_regression,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9664502164502166
random_forest,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9426406926406927
xgboost,0.8688524590163934,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9199134199134198
